Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,french_text
107,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,neutral,9,10,2,5,"00:02:36,823","00:02:43,620","Même si tu fais une bonne imitation de Bob...quand elle te verra...elle se dira bien : ""T'es pas Bob»."
108,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,neutral,9,11,2,5,"00:02:47,375","00:02:52,337",Quand elle ne le verra pas venir...j'espère être le bon Samaritain qui la réconfortera.
109,Oh my god. You are pure evil.,Ross,disgust,negative,9,12,2,5,"00:02:52,547","00:02:55,299",Mon Dieu. Tu es diabolique !
110,"Ok, pure evil , horny and alone . I've done this",Chandler,anger,negative,9,13,2,5,"00:02:56,634","00:03:05,058",Diabolique.Excité et seul.J'ai testé pour vous.
111,Nobody!,Phoebe,anger,negative,10,0,5,10,"0:11:57,091","0:11:58,551",Personne!
112,Nobody respects the bucket!,Phoebe,anger,negative,10,1,5,10,"0:11:58,551","0:11:59,947",Personne ne respecte le chaudron.
113,You wouldn't believe what people put in here!,Phoebe,anger,negative,10,2,5,10,"00:12:00,553","00:12:02,721",Si vous saviez ce qu'ils y mettent !
114,Look!,Phoebe,anger,negative,10,3,5,10,"00:12:02,888","00:12:04,597",Regardez!
115,"Okay, does this look like a garbage can to you?",Phoebe,anger,negative,10,4,5,10,"00:12:02,888","00:12:07,016",Ça ressemble à une poubelle ?
116,No.,Monica,neutral,neutral,10,5,5,10,"00:12:04,765","00:12:07,016",- Je ne peux pas.
117,This is my wedding.,Ross,neutral,neutral,11,0,4,23,"00:03:10,815","00:03:12,024",Je me marie !
118,"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!",Monica,anger,negative,11,1,4,23,"00:03:13,318","00:03:16,737","Ça y est, on est en retard ! Allons-y !"
119,Fine. You’ll-you’ll watch it on video when we get back.,Ross,neutral,neutral,11,2,4,23,"00:03:18,781","00:03:21,491",Tu verras la vidéo quand on rentrera.
120,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Chandler,joy,positive,11,3,4,23,"00:03:22,869","00:03:25,704","Tiens, Phoebe. Tiens Phoe-bo, Phoo-ba-la. . ."
121,Thank you.,Phoebe,neutral,neutral,11,4,4,23,"0:03:27,790","0:03:28,791",- Je vous remercie.
122,Thank you.,Phoebe,neutral,neutral,11,5,4,23,"0:03:28,791","0:03:28,931",- Je vous remercie.
123,"All right, let’s go! Bye, Pheebs!",Ross,joy,positive,11,6,4,23,"00:03:32,503","00:03:34,463","Allez, on y va !"
124,"Bye, Pheebs!",Joey,joy,positive,11,7,4,23,"00:03:34,631","00:03:36,340","Au revoir, Phoebs."
125,London baby!!,Joey,joy,positive,11,8,4,23,"00:03:40,803","00:03:42,554","Londres, mon vieux !"
126,"Oh, do you need a hug? You don’t have to bring me anything!",Phoebe,joy,positive,11,9,4,23,"00:03:44,849","00:03:51,563",Tu veux un câlin ?Sans rien m'apporter.
127,Hey!,Chandler,neutral,neutral,12,0,6,4,"00:09:47,295","00:09:49,045",Je suis là.
128,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.,Joey,joy,positive,12,1,6,4,"00:09:47,295","00:09:56,177",Estelle m'a trouvé un tas d'auditions pour demain.Je serai à nouveau couvert en un rien de temps.
129,"That’s great, but shouldn’t you be on the toilet right now?",Chandler,disgust,negative,12,2,6,4,"00:09:57,346","00:10:00,890",Tant mieux. Mais tu devrais pas être aux toilettes ?
130,What?!,Joey,surprise,negative,12,3,6,4,"0:10:04,312","0:10:05,647",- Je suis désolé.
131,What’s wrong with you?,Chandler,disgust,negative,12,4,6,4,"0:10:05,647","0:10:06,929",Qu'est-ce que t'as ?
132,Nothing!,Joey,neutral,neutral,12,5,6,4,"00:10:07,023","00:10:08,023",Rien.
133,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.",Joey,fear,negative,12,6,6,4,"00:10:08,190","00:10:18,575","J'ai ressenti une douleur aveuglante au ventre en soulevant des haltères.Et puis je suis tombé dans les vapes, et. . .j'ai pas pu me relever depuis !"
134,"But um, I don’t think it’s anything serious.",Joey,neutral,neutral,12,7,6,4,"00:10:18,743","00:10:21,536",Je crois pas qu'il y ait de quoi s'alarmer.
135,This sounds like a hernia. You have to—you-you go to the doctor!,Chandler,surprise,negative,12,8,6,4,"00:10:21,704","00:10:24,706",On dirait une hernie. Va voir un médecin !
136,"No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!",Joey,fear,negative,12,9,6,4,"00:10:24,874","00:10:31,463","Pas question !Si je dois voir un docteur, ce sera pour ce truc qui me sort du bide !"
137,That’s a hernia.,Chandler,disgust,negative,12,10,6,4,"00:10:34,842","00:10:36,009",C'est une hernie !
138,Why did I have to start working out again?  Damn you 15s!,Joey,anger,negative,12,11,6,4,"00:10:36,177","00:10:41,556","Quelle idée, de refaire de l'exercice !Saloperies de 7 kg !"
139,I love your place! Where is this guy from?,Mona,joy,positive,13,0,8,8,"00:10:36,844","00:10:40,930",J'adore ton appartement ! D'où vient ce gars-là ?
140,Uh that’s an eighteenth century Indian artifact from Calcutta.,Ross,neutral,neutral,13,1,8,8,"00:10:41,098","00:10:50,899",C'est une statuette indienne du XVlllème siècle.
141,"Oh wow! So, you’re more than just dinosaurs.",Mona,surprise,positive,13,2,8,8,"00:10:44,894","00:10:50,899",Tu as d'autres atouts que les dinosaures.
142,So much more.,Ross,neutral,neutral,13,3,8,8,"00:10:51,567","00:10:53,485",Beaucoup d'autres.
143,"Well, well to sum up, we’re having fun, you look young.",Ross,neutral,neutral,14,0,8,11,"00:13:42,112","00:13:53,456","Eh bien, pour résumer. . .On s'amuse bien. . .tu fais très jeune."
144,Okay,Mona,neutral,neutral,14,1,8,11,"00:13:57,253","00:14:00,171",Je suis désolé.
145,But that’s not enough. So… So…here’s a key to my apartment.,Ross,neutral,neutral,14,2,8,11,"00:13:57,253","00:14:06,135",Mais ça ne suffit pas.Alors. . .voici la clef de mon appartement.
146,Really?!,Mona,surprise,positive,14,3,8,11,"0:14:12,184","0:14:14,986",Vraiment ?
147,Really.,Ross,neutral,neutral,14,4,8,11,"0:14:14,986","0:14:15,320",Vraiment.
148,You don’t think this is too fast.,Mona,neutral,neutral,14,5,8,11,"00:14:16,897","00:14:20,316",On va pas trop vite ?
173,"Go, go, go!",Ross,joy,positive,16,0,3,25,"00:04:41,197","00:04:42,239","Allez, allez, allez!"
174,"Oh yeah, now everybody wants to be under this hat!",Rachel,joy,positive,16,1,3,25,"00:04:42,407","00:04:44,574",Vous vous protégez tous sous mon chapeau !
175,Oy!!,Phoebe,disgust,negative,16,2,3,25,"00:04:49,455","00:04:50,747",Je suis désolé!
176,What’s with all this sand?,Monica,surprise,negative,16,3,3,25,"00:04:52,333","00:04:54,001","C'est quoi, ce sable ?"
177,"Oh, yeah, Bob said there might be flood damage.",Phoebe,neutral,neutral,16,4,3,25,"00:04:54,168","00:04:56,795",Bob m'a parlé de problèmes de marée haute.
178,"Yeah, either that, or he has a really big cat.",Ross,neutral,neutral,16,5,3,25,"00:04:57,005","00:04:59,214","Ou alors, il a un chat géant."
179,"Okay, see that blind guy right there? I'm gonna bash his head in later.",Joey,anger,negative,17,0,5,19,"00:06:15,416","00:06:19,127","L'aveugle, là, je lui fracasse la tête plus tard."
180,"Oh umm, my big scene is coming up. Big scene coming up.",Joey,joy,positive,17,1,5,19,"00:06:21,506","00:06:25,542",Ma grande scène arrive. La grande scène arrive !
181,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",Chandler,neutral,neutral,17,2,5,19,"00:06:25,551","00:06:29,012","Si tu disais ''La grosse fève dérive'', elle pigerait ?"
182,Rach? What are you doing?,Monica,neutral,neutral,17,3,5,19,"00:06:32,183","00:06:33,517","Rachel, que fais-tu ?"
183,"Oh boy, I just can't watch. It's too scary!",Rachel,fear,negative,17,4,5,19,"00:06:33,976","00:06:37,020","Je peux pas regarder, ça fait trop peur."
184,It's a diaper commercial.,Monica,neutral,neutral,17,5,5,19,"00:06:37,480","00:06:39,731",Une pub pour des couches ?
185,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",Rachel,fear,negative,17,6,5,19,"00:06:40,817","00:06:43,735","Tu me connais ! Les bébés, les responsabilités. . ."
186,Pizza delivery!,Caitlin,joy,positive,17,7,5,19,"0:06:47,281","0:06:49,793",Pizza !
187,I'll get it! I will get that!,Ross,joy,positive,17,8,5,19,"0:06:49,793","0:06:50,887",J'y vais ! Je m'en occupe !
188,Hi!,Caitlin,joy,positive,17,9,5,19,"0:06:53,538","0:06:54,665",Je vous en prie.
189,Hi!,Ross,joy,positive,17,10,5,19,"0:06:54,665","0:06:54,803",Je vous en prie.
190,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",Ross,neutral,neutral,18,0,5,21,"00:05:05,096","00:05:09,474",Tu veux manger ou voir combien de temps on peut se lancer la balle ?
191,"Uhh, the ball thing.",Joey,neutral,neutral,18,1,5,21,"0:05:09,642","0:05:11,603",Le plan balle.
192,Yeah?,Ross,neutral,neutral,18,2,5,21,"0:05:11,603","0:05:12,542",- Je sais.
193,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",Joey,joy,positive,18,3,5,21,"00:05:14,022","00:05:19,109",On serait des bêtes si on arrivait à le faire pendant deux heures.
194,"Uhh,",Ross,neutral,neutral,18,4,5,21,"00:05:19,277","00:05:22,279",Je suis désolé.
195,Okay!,Joey,joy,positive,18,5,5,21,"00:05:23,489","00:05:24,990",Je suis là.
196,Uh-oh.,Joey,fear,negative,18,6,5,21,"0:05:28,578","0:05:29,670",Je suis là.
197,What?,Ross,neutral,neutral,18,7,5,21,"0:05:29,670","0:05:30,222",- Je ne sais pas.
198,I have to pee. And Rachel's in the bathroom!,Joey,sadness,negative,18,8,5,21,"00:05:30,330","00:05:34,166",Quoi ? - Faut que j'aille pisser.Et Rachel est aux toilettes !
199,"Man, I didn't think we were gonna make it!",Joey,surprise,positive,18,9,5,21,"00:05:39,047","00:05:41,548",Je croyais pas qu'on y arriverait !
200,"I know!  Don't switch hands, okay?",Ross,fear,negative,18,10,5,21,"00:05:42,383","00:05:45,969","Moi non plus.Change pas de main, d'accord ?"
203,How did it go with Erin?,Rachel,neutral,neutral,20,0,7,7,"00:10:56,155","00:10:59,157",Comment c'était avec Erin?
204,"Oh, unbelievable! We had the best time!",Joey,joy,positive,20,1,7,7,"00:10:59,408","00:11:01,368",Incroyable.Une soirée formidable!
205,"Yay!! Oh so, you’re not, you’re not mad at us anymore?",Phoebe,joy,positive,20,2,7,7,"00:11:01,535","00:11:06,164",Tu n'es plus fâché contre nous?
206,No!,Joey,joy,positive,20,3,7,7,"0:11:02,703","0:11:03,538",- Je ne peux pas.
207,No!,Joey,joy,positive,20,4,7,7,"0:11:03,538","0:11:04,760",- Je ne peux pas.
208,No!,Joey,joy,positive,20,5,7,7,"0:11:04,760","0:11:05,303",- Je ne peux pas.
209,You guys were totally right!,Joey,joy,positive,20,6,7,7,"0:11:05,303","0:11:06,298",Vous aviez raison.
210,This is so much better than the first time we went out.,Joey,joy,positive,20,7,7,7,"00:11:06,374","00:11:08,625",C'était mieux que la première fois.
211,Y’know?,Joey,neutral,neutral,20,8,7,7,"00:11:08,625","00:11:08,834",Tu sais quoi?
212,"That was so awkward, we were really nervous.",Joey,neutral,neutral,20,9,7,7,"00:11:08,834","00:11:11,378",C'était bizarre. On était tendus.
213,Didn’t you sleep together?,Phoebe,neutral,neutral,20,10,7,7,"0:11:11,629","0:11:12,811",Vous avez couché?
214,"Yeah, that really calms me down.",Joey,neutral,neutral,20,11,7,7,"0:11:12,811","0:11:14,723","Oui, ça me calme."
215,And!,Joey,joy,positive,20,12,7,7,"0:11:16,801","0:11:18,595",Et vous!
216,We have so much in common!,Joey,joy,positive,20,13,7,7,"0:11:18,595","0:11:18,734",On a tellement de choses en commun.
217,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that’s a",Joey,joy,positive,20,14,7,7,"00:11:18,928","00:11:31,356","Elle aime les sandwiches, le sport... Mais c'est une fan des Mets.Ce n'est pas grave, mais si on a des enfants..."
218,"Oh my God! Listen to you talkin’ about having kids. Oh my Joey.  Oh, please don’t get married before I do.",Rachel,surprise,positive,20,15,7,7,"00:11:27,228","00:11:37,862",Tu parles d'avoir des enfants!Ne te marie pas avant moi.
219,Okay.,Joey,neutral,neutral,20,16,7,7,"00:11:41,742","00:11:43,493",Je suis en train de vous dire.
220,How does she do that?,Monica,surprise,negative,21,0,1,4,"00:01:49,275","00:01:51,485",Comment elle fait ?
221,I cannot sleep in a public place.,Ross,neutral,neutral,21,1,1,4,"00:01:51,653","00:01:54,822",Je ne peux pas dormir dans un endroit public .
222,Would you look at her? She is so peaceful.,Monica,joy,positive,21,2,1,4,"00:01:54,989","00:02:00,994",Regarde-la !Elle est si paisible !
223,Oh! What what what! ...Hi.,Phoebe,surprise,positive,21,3,1,4,"00:02:01,162","00:02:03,622",Je vous salue.
224,"It's okay, y'know, you just nodded off again.",Ross,neutral,neutral,21,4,1,4,"00:02:03,790","00:02:05,958",C'est rien . Tu t'es encore assoupie .
225,What's going on with you?,Monica,surprise,positive,21,5,1,4,"00:02:06,126","00:02:08,127",Qu'y a-t-il ?
226,I got no sleep last night!,Phoebe,anger,negative,21,6,1,4,"0:02:08,294","0:02:09,587",J'ai pas dormi de la nuit .
227,Why?,Ross,neutral,neutral,21,7,1,4,"0:02:09,587","0:02:09,991",Pourquoi?
228,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",Phoebe,disgust,negative,21,8,1,4,"00:02:10,088","00:02:17,177","Ma grand-mère a un nouveau copain .Au lit, ils sont assez anxieux ."
229,"Oh, and deaf.",Phoebe,neutral,neutral,21,9,1,4,"00:02:17,345","00:02:18,887",Et sourds ...
230,"So they're constantly, like, having to reassure each other that they're having a good time.",Phoebe,neutral,neutral,21,10,1,4,"00:02:20,682","00:02:24,726",Ils ont tout le temps besoin de se rassurer .
231,You have no idea how loud they are!,Phoebe,disgust,negative,21,11,1,4,"00:02:24,894","00:02:26,937",Ils font un de ces bruits !
232,"Well, if you want, you can stay with Rachel and me tonight.",Monica,neutral,neutral,21,12,1,4,"0:02:29,023","0:02:30,900",Viens dormir à la maison .
233,Thanks.,Phoebe,joy,positive,21,13,1,4,"0:02:30,900","0:02:32,175",- Je vous remercie.
234,Ew! What is that? Something exploded!,Joey,disgust,negative,22,0,1,23,"00:09:00,248","00:09:03,667",Qu'est- ce que c'était ? Quelque chose a explosé !
235,"It's just her water breaking. Calm down, will you?",Nurse,neutral,neutral,22,1,1,23,"00:09:03,834","00:09:06,169",Elle a perdu ses eaux . Calmez- vous .
236,"Water breaking, what do you mean? What's that, water breaking?",Joey,surprise,negative,22,2,1,23,"00:09:06,337","00:09:09,714",Elle a perdu ses eaux ? Comment ça ?
237,"Breathe, breathe, breathe.",Nurse,neutral,neutral,22,3,1,23,"00:09:09,882","00:09:13,510",Respirez !
238,"Are you insane? I mean Joey, is going to kill you, he’s actually going to kill you dead.",Monica,surprise,negative,23,0,3,11,"00:10:13,321","00:10:19,909",Tu es dingue ?Joey va te tuer. Il va même te tuer à mort.
239,Okay! You don’t think I thought of that?,Chandler,anger,negative,23,1,3,11,"00:10:17,825","00:10:19,909",Tu crois que je n'y ai pas pensé ?
240,How can you not know which one?,Phoebe,surprise,negative,23,2,3,11,"0:10:20,870","0:10:22,422",Tu te souviens pas ?
241,I mean that’s unbelievable.,Rachel,joy,positive,23,3,3,11,"0:10:22,422","0:10:23,751",C'est invraisemblable.
242,"I mean, was it Gina?",Monica,neutral,neutral,23,4,3,11,"0:10:23,873","0:10:24,873",C'était Gina ?
243,Which one is Gina?,Ross,neutral,neutral,23,5,3,11,"0:10:24,873","0:10:25,937",C'est laquelle ?
