Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,greek_text
45,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,sadness,negative,3,8,3,12,"00:10:36,385","00:10:39,137",Σίγουρα.Και φαίνεται τόσο ευτυχισμένη!
46,Done.,Joey,neutral,neutral,3,9,3,12,"00:10:39,680","00:10:41,181",Τελείωσα.
47,Hey!,Rachel,surprise,positive,4,0,3,11,"0:20:23,931","0:20:24,891",- Γεια σου!
48,Hi!,Ross,joy,positive,4,1,3,11,"0:20:24,891","0:20:25,028",Γεια σου!
49,What are you doing here?,Rachel,surprise,positive,4,2,3,11,"00:20:25,140","00:20:26,265",Τι κάνεις εδώ;
50,"Ah y'know, this building is on my paper route so I...",Ross,neutral,neutral,4,3,3,11,"00:20:26,433","00:20:29,185",'Ηταν στο δρόμο μου και...
51,Oh.,Rachel,neutral,neutral,4,4,3,11,"0:20:29,394","0:20:30,771",- Δεν ξέρω.
52,Hi.,Ross,neutral,neutral,4,5,3,11,"0:20:30,771","0:20:30,873",- Γεια σου.
53,Hi.,Rachel,neutral,neutral,4,6,3,11,"0:20:30,873","0:20:31,135",- Γεια σου.
54,How’d did it go?,Ross,neutral,neutral,4,7,3,11,"00:20:31,188","00:20:32,230",Πώς πήγε;
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",Rachel,joy,positive,4,8,3,11,"00:20:32,397","00:20:40,446","Η γυναίκα που μίλησα ήταν σκληρό καρύδι, αλλά......ευτυχώς που με προπόνησε ο Μαρκ.Ενθουσιάστηκε και δεν έκλεινε το στόμα της."
56,I’m so proud of you.,Ross,joy,positive,4,9,3,11,"0:20:40,614","0:20:41,991",-Είμαι περήφανος για σένα. -Κι εγώ!
57,Me too!,Rachel,joy,positive,4,10,3,11,"0:20:41,991","0:20:43,543",Κι εγώ!
58,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",Ross,sadness,negative,4,11,3,11,"00:20:44,284","00:20:53,584",Συγνώμη που ήμουν τόσο τρελός και ζηλιάρης...Είναι που μ'αρέσεις πολύ...
59,I know.,Rachel,neutral,neutral,4,12,3,11,"00:20:53,752","00:20:54,794",Το ξέρω.
60,Yeah.,Ross,neutral,neutral,4,13,3,11,"0:20:54,962","0:20:55,380","- Ναι, ναι."
61,Yeah.,Rachel,neutral,neutral,4,14,3,11,"0:20:55,380","0:20:56,057","- Ναι, ναι."
66,Good job Joe! Well done! Top notch!,Chandler,joy,positive,6,0,8,22,"00:12:24,315","00:12:27,526","Μπράβο, Τζο! Καταπληκτικό!"
67,You liked it? You really liked it?,Joey,surprise,positive,6,1,8,22,"0:12:28,194","0:12:29,796",Πραγματικά σου άρεσε;
68,"Oh-ho-ho, yeah!",Chandler,joy,positive,6,2,8,22,"0:12:29,796","0:12:31,501",-Ποιο μέρος ακριβώς; -Μου άρεσε όλο! Πάμε!
69,Which part exactly?,Joey,neutral,neutral,6,3,8,22,"0:12:31,655","0:12:33,657",Πες μου κάτι συγκεκριμένο.
70,The whole thing! Can we go?,Chandler,neutral,neutral,6,4,8,22,"0:12:33,657","0:12:36,243",Μπορούμε να φύγουμε;
71,"Oh no-no-no, give me some specifics.",Joey,anger,negative,6,5,8,22,"00:12:36,368","00:12:38,746","Όχι, όχι, δώσε μου κάποιες λεπτομέρειες."
72,"I love the specifics, the specifics were the best part!",Chandler,joy,positive,6,6,8,22,"00:12:38,954","00:12:43,000",Τα συγκεκριμένα ήταν το καλύτερο μέρος!
73,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,neutral,6,7,8,22,"00:12:43,209","00:12:48,255",Εκείνη η σκηνή με το καγκουρό; Σου άρεσε;
74,I was surprised to see a kangaroo in a World War I epic.,Chandler,surprise,negative,6,8,8,22,"00:12:49,298","00:12:54,929",Ξαφνιάστηκα που είδα καγκουρό σε ταινία του Α' Παγκοσμίου Πολέμου.
75,You fell asleep!!,Joey,anger,negative,6,9,8,22,"00:12:55,930","00:12:56,931",Κοιμήθηκες!
76,There was no kangaroo!,Joey,anger,negative,6,10,8,22,"0:12:58,432","0:12:59,809",Δεν υπήρχε καγκουρό
77,They didn’t take any of my suggestions!,Joey,anger,negative,6,11,8,22,"0:12:59,809","0:13:03,196",Δεν άκουσαν καμιά απ' τις προτάσεις μου
78,That’s for coming buddy.,Joey,neutral,neutral,6,12,8,22,"0:13:05,940","0:13:07,242","-Ευχαριστώ που ήρθες, φίλε. Τα λέμε. -Λυπάμαι. Λυπάμαι πολύ."
79,I’ll see you later.,Joey,neutral,neutral,6,13,8,22,"0:13:07,242","0:13:08,202",Θα σε δω αργότερα.
80,Don’t go!,Chandler,sadness,negative,6,14,8,22,"0:13:08,202","0:13:08,804",Μην φύγεις!
81,I’m sorry.,Chandler,sadness,negative,6,15,8,22,"0:13:08,804","0:13:09,526",- Συγγνώμη. - Συγγνώμη.
82,I’m so sorry!,Chandler,sadness,negative,6,16,8,22,"0:13:09,526","0:13:10,832",Λυπάμαι πολύ!
83,Look!,Chandler,surprise,negative,6,17,8,22,"0:13:10,945","0:13:11,407","- Κοίτα, κοίτα!"
84,This guy fell asleep!,Chandler,anger,negative,6,18,8,22,"0:13:11,407","0:13:12,589",Αυτός ο τύπος κοιμήθηκε!
85,He fell asleep too!,Chandler,anger,negative,6,19,8,22,"0:13:12,589","0:13:13,215",Κι αυτός κοιμήθηκε! Θύμωσε μ' αυτόν!
86,Be mad at him!,Chandler,anger,negative,6,20,8,22,"0:13:13,215","0:13:14,108",Να είσαι θυμωμένος μαζί του!
87,"Or, call an ambulance.",Chandler,anger,negative,6,21,8,22,"00:13:16,367","00:13:18,244",'Η κάλεσε ασθενοφόρο!
88,"Okay, look, I think we have to tell Rachel she messed up her dessert.",Joey,neutral,neutral,7,0,6,9,"00:12:51,020","00:12:53,897",Πρέπει να πούμε στην Ρέιτσελ ότι χάλασε το γλυκό!
89,"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",Ross,anger,negative,7,1,6,9,"00:12:54,106","00:12:58,193",Τι έχετε πάθει όλοι; Είναι Μέρα των Ευχαριστιών όχι η μέρα της Αλήθειας!
90,"Yes, and it is my dying wish to have that ring.",Phoebe,neutral,neutral,8,0,6,23,"00:19:17,865","00:19:21,951","Ναι, και είναι η τελευταία μου επιθυμία να έχω αυτό το δαχτυλίδι."
91,"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,neutral,neutral,8,1,6,23,"00:19:17,865","00:19:25,204",Είναι η τελευταία μου επιθυμία. Αν δεν θαφτώ μ'αυτό το δαχτυλίδι......η ψυχή μου δεν θα ησυχάσει ποτέ.
92,"Okay, that’s enough honey!",Chandler,neutral,neutral,8,2,6,23,"00:19:25,372","00:19:26,706","Φτάνει, γλυκιά μου."
93,I don’t know.  Let me see the ring.,Customer,neutral,neutral,8,3,6,23,"00:19:28,375","00:19:34,964",-Ας δω το δαχτυλίδι. -Νά'το.
94,"Great! Okay, here.",Chandler,joy,positive,8,4,6,23,"00:19:32,129","00:19:34,964","Ωραία, εδώ."
95,All right.,Customer,neutral,neutral,8,5,6,23,"0:19:37,342","0:19:39,934","- Εντάξει, εντάξει."
96,Thank you. Thank you. Thank you!  And,Chandler,joy,positive,8,6,6,23,"0:19:39,934","0:19:40,074",-Καλά θα το κάνω. -Ευχαριστώ. Παίρνετε σπάνιο άντρα.
97,What've you been up to?,Chandler,neutral,neutral,9,0,2,5,"00:01:51,903","00:01:54,738","Τι κάνεις, λοιπόν;"
98,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,neutral,9,1,2,5,"00:01:54,948","00:02:01,203",<i>Τα συνηθισμένα...</i><i>Διδάσκω αερόμπικ...</i><i>...τ</i>ο <i>έχω ρίξει</i> <i>στα ξενύχτια.</i>
99,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,neutral,9,2,2,5,"00:02:01,621","00:02:07,459","<i>Και, ναι...</i><i>...είναι τα πόδια μ</i>ο<i>υ</i> <i>στ</i>ο <i>πόστερ τ</i>ο<i>υ Τζ έημς Μπ</i>ο<i>ντ.</i>"
100,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,positive,9,3,2,5,"00:02:10,547","00:02:14,758","Περίμενε ένα λεπτό, έχω άλλο τηλεφώνημα.-Την αγαπώ! -Το ξέρω."
101,I know.,Ross,neutral,neutral,9,4,2,5,"00:02:13,091","00:02:14,758","- Ναι, το ξέρω."
102,I'm back.,Chandler,neutral,neutral,9,5,2,5,"0:02:16,261","0:02:16,903","-Γύρισα. <i>-Θα βρεθ</i>ο<i>ύμε, λ</i>ο<i>ιπόν;</i>"
103,"So, are we gonna get together or what?",Jade,neutral,neutral,9,6,2,5,"0:02:16,903","0:02:19,185",Θα συναντηθούμε ή όχι;
104,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,neutral,9,7,2,5,"00:02:19,347","00:02:25,561",Φυσικά.Αύριο το απόγευμα;Ξέρεις το Σέντραλ Περκ; Στις πέντε;<i>Θα τα π</i>ο<i>ύμε.</i>
105,"Great, I'll see you then.",Jade,neutral,neutral,9,8,2,5,"00:02:25,770","00:02:28,647","Ωραία, τα λέμε τότε."
106,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,positive,9,9,2,5,"00:02:32,318","00:02:34,528",Το τηλέφωνο τελικά τα έβγαλε τα λεφτά του.
107,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,neutral,9,10,2,5,"00:02:36,823","00:02:43,620",Μπορεί να μιμείσαι καλά τον Μπομπ......αλλά όταν σε δει αύριο......μάλλον θα καταλάβει ότι δεν είσαι ο Μπομπ.
108,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,neutral,9,11,2,5,"00:02:47,375","00:02:52,337",'Οταν δεν εμφανιστεί ο Μπομπ......θα ζητήσει παρηγοριά στην αγκαλιά του ξένου δίπλα.
109,Oh my god. You are pure evil.,Ross,disgust,negative,9,12,2,5,"00:02:52,547","00:02:55,299",Θεέ μου! Είσαι κακός!
110,"Ok, pure evil , horny and alone . I've done this",Chandler,anger,negative,9,13,2,5,"00:02:56,634","00:03:05,058",Κακός......ξαναμμένος και μόνος.Αυτό το έκανα!
111,Nobody!,Phoebe,anger,negative,10,0,5,10,"0:11:57,091","0:11:58,551",Κανείς!
112,Nobody respects the bucket!,Phoebe,anger,negative,10,1,5,10,"0:11:58,551","0:11:59,947",Κανείς! Κανείς δε σέβεται το κουβά!
113,You wouldn't believe what people put in here!,Phoebe,anger,negative,10,2,5,10,"00:12:00,553","00:12:02,721",Δεν θα πιστέψτε τι πετάνε εδώ μέσα!
114,Look!,Phoebe,anger,negative,10,3,5,10,"00:12:02,888","00:12:04,597","- Κοίτα, κοίτα!"
115,"Okay, does this look like a garbage can to you?",Phoebe,anger,negative,10,4,5,10,"00:12:02,888","00:12:07,016",Σας μοιάζει με σκουπιδοτενεκέ;
116,No.,Monica,neutral,neutral,10,5,5,10,"00:12:04,765","00:12:07,016","- Όχι, δεν είναι."
117,This is my wedding.,Ross,neutral,neutral,11,0,4,23,"00:03:10,815","00:03:12,024",Είναι ο γάμος μου.
118,"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!",Monica,anger,negative,11,1,4,23,"00:03:13,318","00:03:16,737","Τώρα έχουμε αργήσει. Πάμε, πάμε!"
119,Fine. You’ll-you’ll watch it on video when we get back.,Ross,neutral,neutral,11,2,4,23,"00:03:18,781","00:03:21,491","Καλά, θα το δεις στο βίντεο όταν επιστρέψουμε."
120,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Chandler,joy,positive,11,3,4,23,"00:03:22,869","00:03:25,704",Ορίστε Φοίβη!
121,Thank you.,Phoebe,neutral,neutral,11,4,4,23,"0:03:27,790","0:03:28,791",Εσύ!
122,Thank you.,Phoebe,neutral,neutral,11,5,4,23,"0:03:28,791","0:03:28,931",- Ευχαριστώ. - Ευχαριστώ.
123,"All right, let’s go! Bye, Pheebs!",Ross,joy,positive,11,6,4,23,"00:03:32,503","00:03:34,463",Πάμε!
124,"Bye, Pheebs!",Joey,joy,positive,11,7,4,23,"00:03:34,631","00:03:36,340","Αντίο, Φοίβς!"
125,London baby!!,Joey,joy,positive,11,8,4,23,"00:03:40,803","00:03:42,554","Λονδίνο, μωρό μου!"
126,"Oh, do you need a hug? You don’t have to bring me anything!",Phoebe,joy,positive,11,9,4,23,"00:03:44,849","00:03:51,563","Ω, Θεέ μου!Θέλεις αγκαλιά;Δεν πρέπει να μου φέρεις κάτι."
127,Hey!,Chandler,neutral,neutral,12,0,6,4,"00:09:47,295","00:09:49,045",- Γεια σου!
128,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.,Joey,joy,positive,12,1,6,4,"00:09:47,295","00:09:56,177",Η Εστέλ μου κανόνισε κάποιες ακροάσεις......και σε λίγο καιρό θά'χω την ασφαλιστική μου κάλυψη!
129,"That’s great, but shouldn’t you be on the toilet right now?",Chandler,disgust,negative,12,2,6,4,"00:09:57,346","00:10:00,890","Ωραία, αλλά δεν θά'πρεπε να ήσουν στην τουαλέτα τώρα;"
130,What?!,Joey,surprise,negative,12,3,6,4,"0:10:04,312","0:10:05,647",Τι;
131,What’s wrong with you?,Chandler,disgust,negative,12,4,6,4,"0:10:05,647","0:10:06,929",-Τι; -Τι τρέχει με σένα;
132,Nothing!,Joey,neutral,neutral,12,5,6,4,"00:10:07,023","00:10:08,023",Τίποτα!
133,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.",Joey,fear,negative,12,6,6,4,"00:10:08,190","00:10:18,575",Μ'έπιασαν πόνοι στο στομάχι καθώς σήκωνα βάρη.Μετά λιποθύμησα κι από τότε δεν μπορώ να σηκωθώ.
134,"But um, I don’t think it’s anything serious.",Joey,neutral,neutral,12,7,6,4,"00:10:18,743","00:10:21,536",Δεν νομίζω να είναι τίποτα ανησυχητικό!
135,This sounds like a hernia. You have to—you-you go to the doctor!,Chandler,surprise,negative,12,8,6,4,"00:10:21,704","00:10:24,706",Σαν κήλη ακούγεται. Να πας στον γιατρό.
136,"No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!",Joey,fear,negative,12,9,6,4,"00:10:24,874","00:10:31,463","Με τίποτα!Αν πάω στον γιατρό, θά'ναι γι'αυτό που προεξέχει στην κοιλιά μου!"
137,That’s a hernia.,Chandler,disgust,negative,12,10,6,4,"00:10:34,842","00:10:36,009",Αυτή είναι κήλη!
138,Why did I have to start working out again?  Damn you 15s!,Joey,anger,negative,12,11,6,4,"00:10:36,177","00:10:41,556",Τι μού'ρθε κι άρχισα πάλι τα βάρη;Καταραμένα 15κιλα!
139,I love your place! Where is this guy from?,Mona,joy,positive,13,0,8,8,"00:10:36,844","00:10:40,930",Λατρεύω το διαμέρισμά σου. Από πού ήρθε αυτός;
140,Uh that’s an eighteenth century Indian artifact from Calcutta.,Ross,neutral,neutral,13,1,8,8,"00:10:41,098","00:10:50,899","Είναι του 18ου αιώνα, από την Καλκούτα."
141,"Oh wow! So, you’re more than just dinosaurs.",Mona,surprise,positive,13,2,8,8,"00:10:44,894","00:10:50,899",Είσαι κάτι περισσότερο από μόνο δεινόσαυρους.
142,So much more.,Ross,neutral,neutral,13,3,8,8,"00:10:51,567","00:10:53,485",Πολύ περισσότερο.
143,"Well, well to sum up, we’re having fun, you look young.",Ross,neutral,neutral,14,0,8,11,"00:13:42,112","00:13:53,456",Διασκεδάζουμε. Φαίνεσαι νέα.
144,Okay,Mona,neutral,neutral,14,1,8,11,"00:13:57,253","00:14:00,171",Αλλά αυτό δεν αρκεί.
145,But that’s not enough. So… So…here’s a key to my apartment.,Ross,neutral,neutral,14,2,8,11,"00:13:57,253","00:14:06,135",Γι' αυτό......πάρε ένα κλειδί του σπιτιού μου.
146,Really?!,Mona,surprise,positive,14,3,8,11,"0:14:12,184","0:14:14,986",-Αλήθεια; -Αλήθεια.
147,Really.,Ross,neutral,neutral,14,4,8,11,"0:14:14,986","0:14:15,320",- Αλήθεια;
148,You don’t think this is too fast.,Mona,neutral,neutral,14,5,8,11,"00:14:16,897","00:14:20,316",Δε νομίζεις ότι είναι πολύ νωρίς;
173,"Go, go, go!",Ross,joy,positive,16,0,3,25,"00:04:41,197","00:04:42,239",- Πηγαίνετε!
174,"Oh yeah, now everybody wants to be under this hat!",Rachel,joy,positive,16,1,3,25,"00:04:42,407","00:04:44,574",Τώρα όλοι θέλουν να μπουν κάτω απ'το καπέλο!
175,Oy!!,Phoebe,disgust,negative,16,2,3,25,"00:04:49,455","00:04:50,747","Ω, ω, ω!"
176,What’s with all this sand?,Monica,surprise,negative,16,3,3,25,"00:04:52,333","00:04:54,001",Τι άμμος είναι αυτή;
177,"Oh, yeah, Bob said there might be flood damage.",Phoebe,neutral,neutral,16,4,3,25,"00:04:54,168","00:04:56,795",Ο Μπομπ είπε ότι μπορεί να έχει ζημιές απ'την πλημμύρα.
178,"Yeah, either that, or he has a really big cat.",Ross,neutral,neutral,16,5,3,25,"00:04:57,005","00:04:59,214",'Η αυτό ή έχει πολύ μεγάλη γάτα.
179,"Okay, see that blind guy right there? I'm gonna bash his head in later.",Joey,anger,negative,17,0,5,19,"00:06:15,416","00:06:19,127",Βλέπεις τον τυφλό; Θα του σπάσω το κεφάλι μετά.
180,"Oh umm, my big scene is coming up. Big scene coming up.",Joey,joy,positive,17,1,5,19,"00:06:21,506","00:06:25,542",Η μεγάλη σκηνή μου έρχεται. Η μεγάλη σκηνή.
181,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",Chandler,neutral,neutral,17,2,5,19,"00:06:25,551","00:06:29,012","Αν έλεγες, ""Μεγάλο φασόλι ξεφυ- τρώνει,"" θα καταλάβαινε διαφορά;"
182,Rach? What are you doing?,Monica,neutral,neutral,17,3,5,19,"00:06:32,183","00:06:33,517",Τι κάνεις;
183,"Oh boy, I just can't watch. It's too scary!",Rachel,fear,negative,17,4,5,19,"00:06:33,976","00:06:37,020",Δε μπορώ να δω. Είναι τρομακτικό.
184,It's a diaper commercial.,Monica,neutral,neutral,17,5,5,19,"00:06:37,480","00:06:39,731",Διαφήμιση για πάνες.
185,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",Rachel,fear,negative,17,6,5,19,"00:06:40,817","00:06:43,735","Ναι, καλά, με ξέρεις. Μωρά, ευθύνες..."
186,Pizza delivery!,Caitlin,joy,positive,17,7,5,19,"0:06:47,281","0:06:49,793",Παράδοση πίτσα!
187,I'll get it! I will get that!,Ross,joy,positive,17,8,5,19,"0:06:49,793","0:06:50,887",Θα το πάρω!
188,Hi!,Caitlin,joy,positive,17,9,5,19,"0:06:53,538","0:06:54,665",Γεια σου!
189,Hi!,Ross,joy,positive,17,10,5,19,"0:06:54,665","0:06:54,803",Γεια σου!
190,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",Ross,neutral,neutral,18,0,5,21,"00:05:05,096","00:05:09,474",Θες να φαμε ή να δούμε πόση ώρα θα πετάξουμε τη μπάλα;
191,"Uhh, the ball thing.",Joey,neutral,neutral,18,1,5,21,"0:05:09,642","0:05:11,603",Τη μπάλα.
192,Yeah?,Ross,neutral,neutral,18,2,5,21,"0:05:11,603","0:05:12,542","- Ναι, ναι."
193,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",Joey,joy,positive,18,3,5,21,"00:05:14,022","00:05:19,109",Δε θα ήταν θαυμάσιο αν συνεχίζαμε για δύο ώρες χωρίς να τη ρίξουμε;
194,"Uhh,",Ross,neutral,neutral,18,4,5,21,"00:05:19,277","00:05:22,279","Ναι, θα ήταν!"
195,Okay!,Joey,joy,positive,18,5,5,21,"00:05:23,489","00:05:24,990",Ας το κάνουμε.
196,Uh-oh.,Joey,fear,negative,18,6,5,21,"0:05:28,578","0:05:29,670",- Δεν ξέρω.
197,What?,Ross,neutral,neutral,18,7,5,21,"0:05:29,670","0:05:30,222",- Τι; - Τι;
198,I have to pee. And Rachel's in the bathroom!,Joey,sadness,negative,18,8,5,21,"00:05:30,330","00:05:34,166",Πρέπει να κατουρήσω.Η Ρέιτσελ είναι στην τουαλέτα!
199,"Man, I didn't think we were gonna make it!",Joey,surprise,positive,18,9,5,21,"00:05:39,047","00:05:41,548",Δε νόμιζα θα τα καταφέρναμε.
200,"I know!  Don't switch hands, okay?",Ross,fear,negative,18,10,5,21,"00:05:42,383","00:05:45,969","Το ξέρω.Μην αλλάξεις χέρια, εντάξει;"
203,How did it go with Erin?,Rachel,neutral,neutral,20,0,7,7,"00:10:56,155","00:10:59,157","-Πώς τα πήγες με την Εριν; -Υπέροχα, περάσαμε καταπληκτικά."
204,"Oh, unbelievable! We had the best time!",Joey,joy,positive,20,1,7,7,"00:10:59,408","00:11:01,368",Ήταν υπέροχο.
205,"Yay!! Oh so, you’re not, you’re not mad at us anymore?",Phoebe,joy,positive,20,2,7,7,"00:11:01,535","00:11:06,164",Δεν μας είσαι πια θυμωμένος;
206,No!,Joey,joy,positive,20,3,7,7,"0:11:02,703","0:11:03,538","- Όχι, όχι!"
207,No!,Joey,joy,positive,20,4,7,7,"0:11:03,538","0:11:04,760","- Όχι, όχι!"
208,No!,Joey,joy,positive,20,5,7,7,"0:11:04,760","0:11:05,303",Οχι
209,You guys were totally right!,Joey,joy,positive,20,6,7,7,"0:11:05,303","0:11:06,298",είχατε απόλυτο δίκιο. Ηταν πολύ καλύτερα απ'την πρώτη φορά.
210,This is so much better than the first time we went out.,Joey,joy,positive,20,7,7,7,"00:11:06,374","00:11:08,625",Είναι πολύ καλύτερο από την πρώτη φορά που βγαίναμε.
211,Y’know?,Joey,neutral,neutral,20,8,7,7,"00:11:08,625","00:11:08,834",Ξέρεις κάτι;
