Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,spanish_text
30,Just coffee! Where are we gonna hang out now?,Chandler,disgust,negative,2,6,3,6,"00:06:02,362","00:06:07,157",SÃ³lo cafÃ©? Y ahora dÃ³nde pasaremos el rato?
31,Got me.,Monica,sadness,negative,2,7,3,6,"00:06:04,489","00:06:07,157",Yo que sÃ©.
32,Can I get a beer.,Chandler,neutral,neutral,2,8,3,6,"0:06:07,367","0:06:08,035",Una birra por favor.
33,"Hey, did you pick a roommate?",Monica,neutral,neutral,2,9,3,6,"0:06:08,035","0:06:10,019","Oye, ya tienes entrevistando?"
34,You betcha!,Chandler,joy,positive,2,10,3,6,"0:06:10,161","0:06:10,973",Desde luego!
35,Is it the Italian guy?,Monica,neutral,neutral,2,11,3,6,"0:06:10,973","0:06:12,167",Es ese tipo Italiano?
36,"Um-mm, yeah right!",Chandler,joy,positive,2,12,3,6,"00:06:12,288","00:06:13,497","Um-mm, vamos ya!"
37,"Oh my God, oh my God! Poor Monica!",Phoebe,surprise,negative,3,0,3,12,"00:10:16,115","00:10:18,450","Dios mÃ­o, Dios mÃ­o! Pobre MÃ³nica!"
38,"What, what, what?!",Chandler,surprise,negative,3,1,3,12,"0:10:18,618","0:10:19,750","QuÃ©, quÃ©, quÃ©?!"
39,What?!,Phoebe,surprise,negative,3,2,3,12,"0:10:19,750","0:10:20,966",¿Qué es eso?
40,He was with her when he wrote this poem.,Phoebe,neutral,neutral,3,3,3,12,"00:10:21,078","00:10:23,496","Pues que estaba con ella cuando escribiÃ³ ese poema. Mira, 'Mi recipiente precioso sin nada dentro."
41,"Look,  'My vessel so empty with nothing inside.",Phoebe,neutral,neutral,3,4,3,12,"00:10:23,664","00:10:26,499","Ahora que te he tocado, pareces aÃºn mÃ¡s vacÃ­o"
42,"Now that I've touched you, you seem emptier still.'",Phoebe,neutral,neutral,3,5,3,12,"00:10:26,667","00:10:29,586","' Ãl se cree que MÃ³nica estÃ¡ vacÃ­a, ella es el jarrÃ³n vaciÃ³!"
43,"He thinks Monica is empty, she is the empty vase!",Phoebe,surprise,negative,3,6,3,12,"00:10:29,754","00:10:32,672",Crees que querÃ­a decir eso?
45,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,sadness,negative,3,8,3,12,"00:10:36,385","00:10:39,137","Por supuesto. Oh, vaya, y ella parece estar tan contenta."
46,Done.,Joey,neutral,neutral,3,9,3,12,"00:10:39,680","00:10:41,181",Ya estÃ¡.
47,Hey!,Rachel,surprise,positive,4,0,3,11,"0:20:23,931","0:20:24,891",Â¡Hola!
48,Hi!,Ross,joy,positive,4,1,3,11,"0:20:24,891","0:20:25,028",Â¡Hola!
49,What are you doing here?,Rachel,surprise,positive,4,2,3,11,"00:20:25,140","00:20:26,265",Â¿QuÃ© estÃ¡s haciendo aquÃ­?
50,"Ah y'know, this building is on my paper route so I...",Ross,neutral,neutral,4,3,3,11,"00:20:26,433","00:20:29,185","Ah, tu sabes, este edificio estÃ¡ en la ruta del reparto asÃ­ quÃ©..."
51,Oh.,Rachel,neutral,neutral,4,4,3,11,"0:20:29,394","0:20:30,771",- ¿Qué quieres?
52,Hi.,Ross,neutral,neutral,4,5,3,11,"0:20:30,771","0:20:30,873",Hola.
53,Hi.,Rachel,neutral,neutral,4,6,3,11,"0:20:30,873","0:20:31,135",Hola.
54,How’d did it go?,Ross,neutral,neutral,4,7,3,11,"00:20:31,188","00:20:32,230",Â¿CÃ³mo te ha ido?
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",Rachel,joy,positive,4,8,3,11,"00:20:32,397","00:20:40,446","Eh... La mujer que me entrevistÃ³ era bastante dura pero por suerte Mark me habÃ­a preparado,porque cuando empecÃ© a hablarle de la lÃ­nea de otoÃ±o,se ha alegrado tanto que no ha parado de hablar."
56,I’m so proud of you.,Ross,joy,positive,4,9,3,11,"0:20:40,614","0:20:41,991",Estoy muy orgulloso de ti.
57,Me too!,Rachel,joy,positive,4,10,3,11,"0:20:41,991","0:20:43,543",Â¡Yo tambiÃ©n!
58,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",Ross,sadness,negative,4,11,3,11,"00:20:44,284","00:20:53,584","Escucha yo... ciento haberme puesto tan celoso,pero es que me gustas mucho..."
59,I know.,Rachel,neutral,neutral,4,12,3,11,"00:20:53,752","00:20:54,794",Lo sÃ©. - Si.
60,Yeah.,Ross,neutral,neutral,4,13,3,11,"0:20:54,962","0:20:55,380","- Sí, es cierto."
61,Yeah.,Rachel,neutral,neutral,4,14,3,11,"0:20:55,380","0:20:56,057","- Sí, es cierto."
62,Ameri-can.,Phoebe,neutral,neutral,5,0,3,15,"0:22:18,545","0:22:20,297",Ameri-can.
63,Ameri-ccan.,Joey,neutral,neutral,5,1,3,15,"0:22:20,297","0:22:20,476",Ameri-ccan.
64,Ameri-can. Y'know it’s a,Phoebe,neutral,neutral,5,2,3,15,"00:22:20,589","00:22:23,507",Ameri-can. Es que es cuesta pronunciarlo. Otra vez.
65,Everybody!!,Sergei,surprise,positive,5,3,3,15,"00:22:25,844","00:22:28,679",¡Todos los demás!
66,Good job Joe! Well done! Top notch!,Chandler,joy,positive,6,0,8,22,"00:12:24,315","00:12:27,526","¡Buen trabajo, Joe! ¡Bien hecho! ¡De primera!"
67,You liked it? You really liked it?,Joey,surprise,positive,6,1,8,22,"0:12:28,194","0:12:29,796",¿Te gustó? ¿De verdad?
68,"Oh-ho-ho, yeah!",Chandler,joy,positive,6,2,8,22,"0:12:29,796","0:12:31,501","Oh, ¡sí!"
69,Which part exactly?,Joey,neutral,neutral,6,3,8,22,"0:12:31,655","0:12:33,657","Bueno, ¿qué parte exactamente?"
70,The whole thing! Can we go?,Chandler,neutral,neutral,6,4,8,22,"0:12:33,657","0:12:36,243",¡Completa! ¡Aquí vamos!
71,"Oh no-no-no, give me some specifics.",Joey,anger,negative,6,5,8,22,"00:12:36,368","00:12:38,746","No, no, no. Dime algunas específicas."
72,"I love the specifics, the specifics were the best part!",Chandler,joy,positive,6,6,8,22,"00:12:38,954","00:12:43,000",Me encantaron las específicas. Las específicas fueron la mejor parte.
73,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,neutral,6,7,8,22,"00:12:43,209","00:12:48,255","Hey, ¿qué tal la escena con el canguro? ¿Te gustó esa parte?"
74,I was surprised to see a kangaroo in a World War I epic.,Chandler,surprise,negative,6,8,8,22,"00:12:49,298","00:12:54,929",Me sorprendí de ver un canguro en una épica de la Primera Guerra.
75,You fell asleep!!,Joey,anger,negative,6,9,8,22,"00:12:55,930","00:12:56,931",¡Te quedaste dormido!
76,There was no kangaroo!,Joey,anger,negative,6,10,8,22,"0:12:58,432","0:12:59,809",¡No había canguros
77,They didn’t take any of my suggestions!,Joey,anger,negative,6,11,8,22,"0:12:59,809","0:13:03,196",¡No tomaron ninguna de mis sugerencias
78,That’s for coming buddy.,Joey,neutral,neutral,6,12,8,22,"0:13:05,940","0:13:07,242",Gracias por venir
79,I’ll see you later.,Joey,neutral,neutral,6,13,8,22,"0:13:07,242","0:13:08,202",Te veo más tarde
80,Don’t go!,Chandler,sadness,negative,6,14,8,22,"0:13:08,202","0:13:08,804",- No te vayas
81,I’m sorry.,Chandler,sadness,negative,6,15,8,22,"0:13:08,804","0:13:09,526",Lo siento mucho
82,I’m so sorry!,Chandler,sadness,negative,6,16,8,22,"0:13:09,526","0:13:10,832",¡Lo siento mucho!
83,Look!,Chandler,surprise,negative,6,17,8,22,"0:13:10,945","0:13:11,407",Mira
84,This guy fell asleep!,Chandler,anger,negative,6,18,8,22,"0:13:11,407","0:13:12,589",¡este tipo se quedó dormido
85,He fell asleep too!,Chandler,anger,negative,6,19,8,22,"0:13:12,589","0:13:13,215",¡Se durmió también
86,Be mad at him!,Chandler,anger,negative,6,20,8,22,"0:13:13,215","0:13:14,108",¡Enójate con él
87,"Or, call an ambulance.",Chandler,anger,negative,6,21,8,22,"00:13:16,367","00:13:18,244",¡O llama una ambulancia!
88,"Okay, look, I think we have to tell Rachel she messed up her dessert.",Joey,neutral,neutral,7,0,6,9,"00:12:51,020","00:12:53,897","Ok, mira, creo que tenemos que decirle a Rachel que se equivocó de receta."
89,"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",Ross,anger,negative,7,1,6,9,"00:12:54,106","00:12:58,193","Qué?. Qué le pasa a todo el mundo?.Es el Día de Acción de Gracias, no... el Día de la Verdad!."
90,"Yes, and it is my dying wish to have that ring.",Phoebe,neutral,neutral,8,0,6,23,"00:19:17,865","00:19:21,951","Si, y mi último deseo es tener ese anillo."
91,"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,neutral,neutral,8,1,6,23,"00:19:17,865","00:19:25,204","Verá, si no me entierran con ese anillo mi espíritu vagará por el intramundo para toda la eternidad..."
92,"Okay, that’s enough honey!",Chandler,neutral,neutral,8,2,6,23,"00:19:25,372","00:19:26,706","Es suficiente, cariño!."
93,I don’t know.  Let me see the ring.,Customer,neutral,neutral,8,3,6,23,"00:19:28,375","00:19:34,964",No sé. Déjeme ver el anillo.
94,"Great! Okay, here.",Chandler,joy,positive,8,4,6,23,"00:19:32,129","00:19:34,964",De acuerdo
95,All right.,Customer,neutral,neutral,8,5,6,23,"0:19:37,342","0:19:39,934",- Gracias
96,Thank you. Thank you. Thank you!  And,Chandler,joy,positive,8,6,6,23,"0:19:39,934","0:19:40,074",GraciasY usted está a punto de casarse con un hombre maravilloso!.
97,What've you been up to?,Chandler,neutral,neutral,9,0,2,5,"00:01:51,903","00:01:54,738","Oh, ya sabes, lo usual."
98,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,neutral,9,1,2,5,"00:01:54,948","00:02:01,203",EnseÃ±o aerobics...
99,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,neutral,9,2,2,5,"00:02:01,621","00:02:07,459",...bastantes fiestas.Y por si te lo preguntabas....... mis piernas aparecen en el nuevo poster de James Bond.
100,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,positive,9,3,2,5,"00:02:10,547","00:02:14,758",Â¿Me esperas? Tengo otra llamada.Â¡La Amo!
101,I know.,Ross,neutral,neutral,9,4,2,5,"00:02:13,091","00:02:14,758",Ya sÃ©.
102,I'm back.,Chandler,neutral,neutral,9,5,2,5,"0:02:16,261","0:02:16,903",VolvÃ­.
103,"So, are we gonna get together or what?",Jade,neutral,neutral,9,6,2,5,"0:02:16,903","0:02:19,185",Â¿Nos vemos?
104,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,neutral,9,7,2,5,"00:02:19,347","00:02:25,561",Absolutamente.Â¿Que te parece maÃ±ana a la tarde?Â¿Conoces el Central Perk? Â¿A las cinco?
105,"Great, I'll see you then.",Jade,neutral,neutral,9,8,2,5,"00:02:25,770","00:02:28,647","Genial, Nos vemos ahÃ­."
106,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,positive,9,9,2,5,"00:02:32,318","00:02:34,528",Finalmente valiÃ³ la pena contestar.
107,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,neutral,9,10,2,5,"00:02:36,823","00:02:43,620",Imitas realmente bien a Bob.......pero cuando ella te vea maÃ±ana......se darÃ¡ cuenta que no eres Bob.
108,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,neutral,9,11,2,5,"00:02:47,375","00:02:52,337",Espero que cuando Bob no aparezca......ella busque consuelo en los brazos del extraÃ±o de la otra mesa.
109,Oh my god. You are pure evil.,Ross,disgust,negative,9,12,2,5,"00:02:52,547","00:02:55,299","Oh, Dios. Eres pura maldad."
110,"Ok, pure evil , horny and alone . I've done this",Chandler,anger,negative,9,13,2,5,"00:02:56,634","00:03:05,058","Ok, Pura maldad...... solo y caliente.Ya he hecho esto."
111,Nobody!,Phoebe,anger,negative,10,0,5,10,"0:11:57,091","0:11:58,551",Nadie
112,Nobody respects the bucket!,Phoebe,anger,negative,10,1,5,10,"0:11:58,551","0:11:59,947",nadie respeta la cubeta de donaciones!.
113,You wouldn't believe what people put in here!,Phoebe,anger,negative,10,2,5,10,"00:12:00,553","00:12:02,721",No se imaginan las cosas que pone ahi la gente!.
114,Look!,Phoebe,anger,negative,10,3,5,10,"00:12:02,888","00:12:04,597","¡Mira, qué haces!"
115,"Okay, does this look like a garbage can to you?",Phoebe,anger,negative,10,4,5,10,"00:12:02,888","00:12:07,016",¿Esto te parece un contenedor de basura?
116,No.,Monica,neutral,neutral,10,5,5,10,"00:12:04,765","00:12:07,016","- No, no es así."
117,This is my wedding.,Ross,neutral,neutral,11,0,4,23,"00:03:10,815","00:03:12,024",Se trata de mi boda.
118,"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!",Monica,anger,negative,11,1,4,23,"00:03:13,318","00:03:16,737","Vamos chicos, vamos a llegar tarde! Vámonos, vámonos, vámonos!"
119,Fine. You’ll-you’ll watch it on video when we get back.,Ross,neutral,neutral,11,2,4,23,"00:03:18,781","00:03:21,491",Bien ya la veras en vídeo cuando volvamos.
120,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Chandler,joy,positive,11,3,4,23,"00:03:22,869","00:03:25,704","Aquí tienes Phoebe, aquí tienes Phubu, Phubala, Phababu..."
121,Thank you.,Phoebe,neutral,neutral,11,4,4,23,"0:03:27,790","0:03:28,791",Gracias tu.
122,Thank you.,Phoebe,neutral,neutral,11,5,4,23,"0:03:28,791","0:03:28,931","- Gracias, señor."
123,"All right, let’s go! Bye, Pheebs!",Ross,joy,positive,11,6,4,23,"00:03:32,503","00:03:34,463",Bien vamos. - Adios.
124,"Bye, Pheebs!",Joey,joy,positive,11,7,4,23,"00:03:34,631","00:03:36,340",Adios Phoebe.
125,London baby!!,Joey,joy,positive,11,8,4,23,"00:03:40,803","00:03:42,554",¡Londres bebé!!
126,"Oh, do you need a hug? You don’t have to bring me anything!",Phoebe,joy,positive,11,9,4,23,"00:03:44,849","00:03:51,563","Qué, necesitas un abrazo?No tienes que traerme nada."
127,Hey!,Chandler,neutral,neutral,12,0,6,4,"00:09:47,295","00:09:49,045",¡Hola!
128,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.,Joey,joy,positive,12,1,6,4,"00:09:47,295","00:09:56,177",¡Hola! Es que Estelle me ha encontrado un montón de audiciones para mañana...pero creo que no recuperaré mi seguro médico a tiempo.
129,"That’s great, but shouldn’t you be on the toilet right now?",Chandler,disgust,negative,12,2,6,4,"00:09:57,346","00:10:00,890","Eso es genial, pero ¿no crees que deberías estar en el baño ahora mismo?"
130,What?!,Joey,surprise,negative,12,3,6,4,"0:10:04,312","0:10:05,647",¡¿Qué?!
131,What’s wrong with you?,Chandler,disgust,negative,12,4,6,4,"0:10:05,647","0:10:06,929",¿Qué te pasa?
132,Nothing!,Joey,neutral,neutral,12,5,6,4,"00:10:07,023","00:10:08,023",¡Nada!
133,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.",Joey,fear,negative,12,6,6,4,"00:10:08,190","00:10:18,575","Bueno, Es que me ha entrado un dolor en el estómago mientras hacia pesas......entonces me eché al suelo y no he sido capaz de levantarme desde entonces."
134,"But um, I don’t think it’s anything serious.",Joey,neutral,neutral,12,7,6,4,"00:10:18,743","00:10:21,536",Pero... no creo que sea nada serio.
135,This sounds like a hernia. You have to—you-you go to the doctor!,Chandler,surprise,negative,12,8,6,4,"00:10:21,704","00:10:24,706",Creo que tienes una hernia. ¡Tienes que ir a ver a un médico!
136,"No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!",Joey,fear,negative,12,9,6,4,"00:10:24,874","00:10:31,463","¡De ninguna manera! Vale, mira, si tengo que ir al médico por algo...¡tendría que ser para que me extirpara el estómago!"
137,That’s a hernia.,Chandler,disgust,negative,12,10,6,4,"00:10:34,842","00:10:36,009",Tienes una hernia.
138,Why did I have to start working out again?  Damn you 15s!,Joey,anger,negative,12,11,6,4,"00:10:36,177","00:10:41,556",¿Por qué tendría que empezar a hacer pesas otra vez?¡Malditos 7 kilos!
139,I love your place! Where is this guy from?,Mona,joy,positive,13,0,8,8,"00:10:36,844","00:10:40,930",Me encanta tu casa. ¿De dónde es este tipo?
140,Uh that’s an eighteenth century Indian artifact from Calcutta.,Ross,neutral,neutral,13,1,8,8,"00:10:41,098","00:10:50,899","Es un artefacto indio del Siglo XVIII, de Calcuta."
141,"Oh wow! So, you’re more than just dinosaurs.",Mona,surprise,positive,13,2,8,8,"00:10:44,894","00:10:50,899",Oh. Wow.Eres más que dinosaurios.
142,So much more.,Ross,neutral,neutral,13,3,8,8,"00:10:51,567","00:10:53,485",Mucho más.
143,"Well, well to sum up, we’re having fun, you look young.",Ross,neutral,neutral,14,0,8,11,"00:13:42,112","00:13:53,456",... lo estamos pasando bien. Te ves joven.
144,Okay,Mona,neutral,neutral,14,1,8,11,"00:13:57,253","00:14:00,171",OK...
145,But that’s not enough. So… So…here’s a key to my apartment.,Ross,neutral,neutral,14,2,8,11,"00:13:57,253","00:14:06,135",Pero eso no es suficiente.Así que ...... acá está la llave de mi apartamento.
146,Really?!,Mona,surprise,positive,14,3,8,11,"0:14:12,184","0:14:14,986",¿De veras?
147,Really.,Ross,neutral,neutral,14,4,8,11,"0:14:14,986","0:14:15,320",De veras.
148,You don’t think this is too fast.,Mona,neutral,neutral,14,5,8,11,"00:14:16,897","00:14:20,316",¿No crees que es muy rápido?
173,"Go, go, go!",Ross,joy,positive,16,0,3,25,"00:04:41,197","00:04:42,239","Vamos, vamos, vamos!"
174,"Oh yeah, now everybody wants to be under this hat!",Rachel,joy,positive,16,1,3,25,"00:04:42,407","00:04:44,574","SÃ­, ahora todo el mundo quiere estar debajo del sombrero!"
175,Oy!!,Phoebe,disgust,negative,16,2,3,25,"00:04:49,455","00:04:50,747",Uy!!
176,What’s with all this sand?,Monica,surprise,negative,16,3,3,25,"00:04:52,333","00:04:54,001",Por quÃ© hay tanta arena?
177,"Oh, yeah, Bob said there might be flood damage.",Phoebe,neutral,neutral,16,4,3,25,"00:04:54,168","00:04:56,795","Oh, sÃ­. Bob me dijo que aquÃ­ habÃ­a fuertes tormentas."
178,"Yeah, either that, or he has a really big cat.",Ross,neutral,neutral,16,5,3,25,"00:04:57,005","00:04:59,214","SÃ­, eso, o tiene un gato muy grande."
179,"Okay, see that blind guy right there? I'm gonna bash his head in later.",Joey,anger,negative,17,0,5,19,"00:06:15,416","00:06:19,127","Ok, ven a ese tipo escondido?. Más adelante le voy a romper la cabeza."
180,"Oh umm, my big scene is coming up. Big scene coming up.",Joey,joy,positive,17,1,5,19,"00:06:21,506","00:06:25,542",Mi gran escena ya viene. Mi gran escena esta por venir.
181,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",Chandler,neutral,neutral,17,2,5,19,"00:06:25,551","00:06:29,012","Si le dijeras "" Una gran brisa burbujeante"", entenderia la diferencia?."
182,Rach? What are you doing?,Monica,neutral,neutral,17,3,5,19,"00:06:32,183","00:06:33,517","Rach, que estas haciendo?."
183,"Oh boy, I just can't watch. It's too scary!",Rachel,fear,negative,17,4,5,19,"00:06:33,976","00:06:37,020",Oh no puedo mirar!. Me da mucho miedo.
184,It's a diaper commercial.,Monica,neutral,neutral,17,5,5,19,"00:06:37,480","00:06:39,731",Es un comercial de pañales.
185,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",Rachel,fear,negative,17,6,5,19,"00:06:40,817","00:06:43,735","Oh, tu sabes. Bebes mucha responsabilidad...."
186,Pizza delivery!,Caitlin,joy,positive,17,7,5,19,"0:06:47,281","0:06:49,793",Entrega de pizza!.
187,I'll get it! I will get that!,Ross,joy,positive,17,8,5,19,"0:06:49,793","0:06:50,887","Ok, yo voy, yo voy."
188,Hi!,Caitlin,joy,positive,17,9,5,19,"0:06:53,538","0:06:54,665",Hola.
189,Hi!,Ross,joy,positive,17,10,5,19,"0:06:54,665","0:06:54,803",Hola.
190,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",Ross,neutral,neutral,18,0,5,21,"00:05:05,096","00:05:09,474",Comemos algo o conitunamos viendo cuanto tiempo podemos tirar la pelota?
191,"Uhh, the ball thing.",Joey,neutral,neutral,18,1,5,21,"0:05:09,642","0:05:11,603",Lo de la pelota.
192,Yeah?,Ross,neutral,neutral,18,2,5,21,"0:05:11,603","0:05:12,542","¿Sí, qué?"
193,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",Joey,joy,positive,18,3,5,21,"00:05:14,022","00:05:19,109",Ross No sería genial alcanzar dos horas sin dejarla caer?
194,"Uhh,",Ross,neutral,neutral,18,4,5,21,"00:05:19,277","00:05:22,279",¿Qué es eso?
195,Okay!,Joey,joy,positive,18,5,5,21,"00:05:23,489","00:05:24,990",Sería genial!
196,Uh-oh.,Joey,fear,negative,18,6,5,21,"0:05:28,578","0:05:29,670",- ¿Qué quieres?
197,What?,Ross,neutral,neutral,18,7,5,21,"0:05:29,670","0:05:30,222",¿Qué es eso?
198,I have to pee. And Rachel's in the bathroom!,Joey,sadness,negative,18,8,5,21,"00:05:30,330","00:05:34,166","Oh oh, tengo que hacer pis y Rachel esta en el baño."
199,"Man, I didn't think we were gonna make it!",Joey,surprise,positive,18,9,5,21,"00:05:39,047","00:05:41,548",No crei que lo lograríamos.
200,"I know!  Don't switch hands, okay?",Ross,fear,negative,18,10,5,21,"00:05:42,383","00:05:45,969",Lo sé. No cambies de mano ok?.
201,Hey.,Joey,neutral,neutral,19,0,1,1,"0:10:11,861","0:10:14,990",- ¿Qué pasa?
202,Hey!,Phoebe,neutral,neutral,19,1,1,1,"0:10:14,990","0:10:15,133","¡Hola, qué haces?"
203,How did it go with Erin?,Rachel,neutral,neutral,20,0,7,7,"00:10:56,155","00:10:59,157",¿qué tal te fue con Erin?
204,"Oh, unbelievable! We had the best time!",Joey,joy,positive,20,1,7,7,"00:10:59,408","00:11:01,368","¡Oh, increible! ¡Lo hemos pasado genial!"
205,"Yay!! Oh so, you’re not, you’re not mad at us anymore?",Phoebe,joy,positive,20,2,7,7,"00:11:01,535","00:11:06,164",¡¡Si!! Oh así que ¿ya no estás enfadado con nosotras?
206,No!,Joey,joy,positive,20,3,7,7,"0:11:02,703","0:11:03,538",¡No
207,No!,Joey,joy,positive,20,4,7,7,"0:11:03,538","0:11:04,760",¡No
208,No!,Joey,joy,positive,20,5,7,7,"0:11:04,760","0:11:05,303",¡No
209,You guys were totally right!,Joey,joy,positive,20,6,7,7,"0:11:05,303","0:11:06,298",¡Tenían razón
210,This is so much better than the first time we went out.,Joey,joy,positive,20,7,7,7,"00:11:06,374","00:11:08,625",Esto ha sido mucho mejor que la primera vez que salimos.
211,Y’know?,Joey,neutral,neutral,20,8,7,7,"00:11:08,625","00:11:08,834",¿Saben? Ha sido muy raro
212,"That was so awkward, we were really nervous.",Joey,neutral,neutral,20,9,7,7,"00:11:08,834","00:11:11,378",estábamos muy nerviosos.
213,Didn’t you sleep together?,Phoebe,neutral,neutral,20,10,7,7,"0:11:11,629","0:11:12,811",¿No se han acostado?
214,"Yeah, that really calms me down.",Joey,neutral,neutral,20,11,7,7,"0:11:12,811","0:11:14,723","Si, claro, eso me calma mucho."
215,And!,Joey,joy,positive,20,12,7,7,"0:11:16,801","0:11:18,595",¡Y
216,We have so much in common!,Joey,joy,positive,20,13,7,7,"0:11:18,595","0:11:18,734",¡Tenemos muchísimo en común
217,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that’s a",Joey,joy,positive,20,14,7,7,"00:11:18,928","00:11:31,356","Le encantan los bocadillos, los deportes,aunque es fan de los Mets,no es un problema ahora pero si llegamos a tener hijos,bueno será..."
218,"Oh my God! Listen to you talkin’ about having kids. Oh my Joey.  Oh, please don’t get married before I do.",Rachel,surprise,positive,20,15,7,7,"00:11:27,228","00:11:37,862","¡Oh Dios mio! Escúchate hablando sobre tener hijos.Oh Dios... Joey.Oh, por favor, no te cases antes que yo."
219,Okay.,Joey,neutral,neutral,20,16,7,7,"00:11:41,742","00:11:43,493",- ¿Qué quieres?
